time,key,x,y,z,roll,pitch,yaw,roll_vel,pitch_vel
0.960000,-1,0.005307,-0.000000,0.085716,0.000001,-0.069723,-3.141586,0.000000,0.000040
0.968000,-1,0.005307,-0.000000,0.085716,0.000001,-0.069723,-3.141586,0.000000,0.000040
0.976000,-1,0.005307,-0.000000,0.085716,0.000001,-0.069723,-3.141586,0.000000,0.000040
0.984000,-1,0.005307,-0.000000,0.085716,0.000001,-0.069722,-3.141586,0.000000,0.000041
0.992000,-1,0.005307,-0.000000,0.085716,0.000001,-0.069722,-3.141586,0.000000,0.000041
1.000000,-1,0.005307,-0.000000,0.085717,0.000001,-0.069722,-3.141586,0.000000,0.000042
1.008000,-1,0.005307,-0.000000,0.085717,0.000001,-0.069721,-3.141586,0.000000,0.000042
1.016000,-1,0.005306,-0.000000,0.085717,0.000001,-0.069721,-3.141586,0.000000,0.000042
1.024000,-1,0.005306,-0.000000,0.085717,0.000001,-0.069721,-3.141586,0.000000,0.000043
1.032000,-1,0.005306,-0.000000,0.085717,0.000001,-0.069720,-3.141586,0.000000,0.000043
1.040000,-1,0.005306,-0.000000,0.085717,0.000001,-0.069720,-3.141586,0.000000,0.000043
1.048000,-1,0.005306,-0.000000,0.085717,0.000001,-0.069720,-3.141586,0.000000,0.000044
1.056000,-1,0.005306,-0.000000,0.085718,0.000001,-0.069719,-3.141586,0.000000,0.000044
1.064000,-1,0.005306,-0.000000,0.085718,0.000001,-0.069719,-3.141586,0.000000,0.000044
1.072000,-1,0.005306,-0.000000,0.085718,0.000001,-0.069719,-3.141586,0.000000,0.000045
1.080000,-1,0.005306,-0.000000,0.085718,0.000001,-0.069718,-3.141586,0.000000,0.000045
1.088000,-1,0.005306,-0.000000,0.085718,0.000001,-0.069718,-3.141586,0.000000,0.000045
1.096000,-1,0.005306,-0.000000,0.085718,0.000001,-0.069718,-3.141586,0.000000,0.000046
1.104000,-1,0.005306,-0.000000,0.085718,0.000001,-0.069717,-3.141586,0.000000,0.000046
1.112000,-1,0.005306,-0.000000,0.085719,0.000001,-0.069717,-3.141586,0.000000,0.000046
1.120000,-1,0.005306,-0.000000,0.085719,0.000001,-0.069716,-3.141586,0.000000,0.000047
1.128000,-1,0.005306,-0.000000,0.085719,0.000001,-0.069716,-3.141586,0.000000,0.000047
1.136000,-1,0.005306,-0.000000,0.085719,0.000001,-0.069716,-3.141586,0.000000,0.000047
1.144000,-1,0.005306,-0.000000,0.085719,0.000001,-0.069715,-3.141586,0.000000,0.000048
1.152000,-1,0.005306,-0.000000,0.085719,0.000001,-0.069715,-3.141586,0.000000,0.000048
1.160000,-1,0.005306,-0.000000,0.085719,0.000001,-0.069715,-3.141586,0.000000,0.000048
1.168000,-1,0.005306,-0.000000,0.085720,0.000001,-0.069714,-3.141586,0.000000,0.000049
1.176000,-1,0.005306,-0.000000,0.085720,0.000001,-0.069714,-3.141586,0.000000,0.000049
1.184000,-1,0.005306,-0.000000,0.085720,0.000001,-0.069713,-3.141586,0.000000,0.000050
