x,y,z,roll,pitch,yaw
0.005305,-0.000000,0.085729,0.000001,-0.069690,-3.141586
0.005305,-0.000000,0.085729,0.000001,-0.069690,-3.141586
0.005305,-0.000000,0.085729,0.000001,-0.069689,-3.141586
0.005305,-0.000000,0.085730,0.000001,-0.069689,-3.141586
0.005304,-0.000000,0.085730,0.000001,-0.069688,-3.141586
0.005304,-0.000000,0.085730,0.000001,-0.069688,-3.141586
0.005304,-0.000000,0.085730,0.000001,-0.069687,-3.141586
0.005304,-0.000000,0.085730,0.000001,-0.069687,-3.141586
0.005304,-0.000000,0.085731,0.000001,-0.069686,-3.141586
0.005304,-0.000000,0.085731,0.000001,-0.069685,-3.141586
0.005304,-0.000000,0.085731,0.000001,-0.069685,-3.141586
0.005304,-0.000000,0.085731,0.000001,-0.069684,-3.141586
0.005304,-0.000000,0.085732,0.000001,-0.069684,-3.141586
0.005304,-0.000000,0.085732,0.000001,-0.069683,-3.141586
0.005304,-0.000000,0.085732,0.000001,-0.069683,-3.141586
0.005304,-0.000000,0.085732,0.000001,-0.069682,-3.141586
0.005304,-0.000000,0.085732,0.000001,-0.069681,-3.141586
0.005304,-0.000000,0.085733,0.000001,-0.069681,-3.141586
0.005304,-0.000000,0.085733,0.000001,-0.069680,-3.141586
0.005304,-0.000000,0.085733,0.000001,-0.069680,-3.141586
0.005304,-0.000000,0.085733,0.000001,-0.069679,-3.141586
0.005304,-0.000000,0.085734,0.000001,-0.069679,-3.141586
0.005304,-0.000000,0.085734,0.000001,-0.069678,-3.141586
0.005304,-0.000000,0.085734,0.000001,-0.069677,-3.141586
0.005304,-0.000000,0.085734,0.000001,-0.069677,-3.141586
0.005304,-0.000000,0.085735,0.000001,-0.069676,-3.141586
0.005304,-0.000000,0.085735,0.000001,-0.069675,-3.141586
0.005304,-0.000000,0.085735,0.000001,-0.069675,-3.141586
0.005304,-0.000000,0.085735,0.000001,-0.069674,-3.141586
0.005304,-0.000000,0.085735,0.000001,-0.069674,-3.141586
0.005304,-0.000000,0.085736,0.000001,-0.069673,-3.141586
0.005304,-0.000000,0.085736,0.000001,-0.069672,-3.141586
0.005304,-0.000000,0.085736,0.000001,-0.069672,-3.141586
0.005303,-0.000000,0.085736,0.000001,-0.069671,-3.141586
0.005303,-0.000000,0.085737,0.000001,-0.069671,-3.141586
0.005303,-0.000000,0.085737,0.000001,-0.069670,-3.141586
0.005303,-0.000000,0.085737,0.000001,-0.069669,-3.141586
0.005303,-0.000000,0.085737,0.000001,-0.069669,-3.141586
0.005303,-0.000000,0.085738,0.000001,-0.069668,-3.141586
0.005303,-0.000000,0.085738,0.000001,-0.069667,-3.141586
0.005303,-0.000000,0.085738,0.000001,-0.069667,-3.141586
0.005303,-0.000000,0.085738,0.000001,-0.069666,-3.141586
0.005303,-0.000000,0.085739,0.000001,-0.069665,-3.141586
0.005303,-0.000000,0.085739,0.000001,-0.069665,-3.141586
0.005303,-0.000000,0.085739,0.000001,-0.069664,-3.141586
0.005303,-0.000000,0.085740,0.000001,-0.069663,-3.141586
0.005303,-0.000000,0.085740,0.000001,-0.069663,-3.141586
0.005303,-0.000000,0.085740,0.000001,-0.069662,-3.141586
0.005303,-0.000000,0.085740,0.000001,-0.069661,-3.141586
0.005303,-0.000000,0.085741,0.000001,-0.069661,-3.141586
0.005303,-0.000000,0.085741,0.000001,-0.069660,-3.141586
0.005303,-0.000000,0.085741,0.000001,-0.069659,-3.141586
0.005303,-0.000000,0.085741,0.000001,-0.069659,-3.141586
0.005303,-0.000000,0.085742,0.000001,-0.069658,-3.141586
0.005303,-0.000000,0.085742,0.000001,-0.069657,-3.141586
0.005303,-0.000000,0.085742,0.000001,-0.069657,-3.141586
0.005303,-0.000000,0.085742,0.000001,-0.069656,-3.141586
0.005303,-0.000000,0.085743,0.000001,-0.069655,-3.141586
0.005303,-0.000000,0.085743,0.000001,-0.069655,-3.141586
0.005302,-0.000000,0.085743,0.000001,-0.069654,-3.141586
0.005302,-0.000000,0.085744,0.000001,-0.069653,-3.141586
0.005302,-0.000000,0.085744,0.000001,-0.069652,-3.141586
0.005302,-0.000000,0.085744,0.000001,-0.069652,-3.141586
0.005302,-0.000000,0.085744,0.000001,-0.069651,-3.141586
0.005302,-0.000000,0.085745,0.000001,-0.069650,-3.141586
0.005302,-0.000000,0.085745,0.000001,-0.069650,-3.141586
0.005302,-0.000000,0.085745,0.000001,-0.069649,-3.141586
0.005302,-0.000000,0.085745,0.000001,-0.069648,-3.141586
0.005302,-0.000000,0.085746,0.000001,-0.069647,-3.141586
0.005302,-0.000000,0.085746,0.000001,-0.069647,-3.141586
0.005302,-0.000000,0.085746,0.000001,-0.069646,-3.141586
0.005302,-0.000000,0.085747,0.000001,-0.069645,-3.141586
0.005302,-0.000000,0.085747,0.000001,-0.069644,-3.141586
0.005302,-0.000000,0.085747,0.000001,-0.069644,-3.141586
0.005302,-0.000000,0.085748,0.000001,-0.069643,-3.141586
0.005302,-0.000000,0.085748,0.000001,-0.069642,-3.141586
0.005302,-0.000000,0.085748,0.000001,-0.069642,-3.141586
0.005302,-0.000000,0.085748,0.000001,-0.069641,-3.141586
0.005302,-0.000000,0.085749,0.000001,-0.069640,-3.141586
0.005302,-0.000000,0.085749,0.000001,-0.069639,-3.141586
0.005302,-0.000000,0.085749,0.000002,-0.069638,-3.141586
0.005302,-0.000000,0.085750,0.000002,-0.069638,-3.141586
0.005301,-0.000000,0.085750,0.000002,-0.069637,-3.141586
0.005302,-0.000000,0.085750,0.000002,-0.069636,-3.141586
0.005307,-0.000000,0.085750,0.000002,-0.069635,-3.141586
0.005320,-0.000000,0.085751,0.000002,-0.069634,-3.141586
0.005345,-0.000000,0.085751,0.000002,-0.069633,-3.141586
0.005383,-0.000000,0.085751,0.000002,-0.069631,-3.141586
0.005437,-0.000000,0.085752,0.000002,-0.069630,-3.141586
0.005507,-0.000000,0.085752,0.000002,-0.069628,-3.141586
0.005596,-0.000000,0.085752,0.000002,-0.069626,-3.141586
0.005721,-0.000000,0.085752,0.000002,-0.069624,-3.141586
0.005886,0.000000,0.085753,0.000002,-0.069622,-3.141580
0.006093,0.000001,0.085755,0.000008,-0.069598,-3.141568
0.006340,0.000004,0.085764,0.000043,-0.069543,-3.141557
0.006628,0.000010,0.085782,0.000127,-0.069451,-3.141551
0.006957,0.000019,0.085813,0.000282,-0.069315,-3.141548
0.007327,0.000032,0.085861,0.000530,-0.069127,-3.141548
0.007737,0.000050,0.085930,0.000881,-0.068887,-3.141553
0.008189,0.000071,0.086025,0.001334,-0.068593,-3.141560
0.008681,0.000098,0.086148,0.001889,-0.068245,-3.141572
0.009214,0.000130,0.086306,0.002546,-0.067845,-3.141586
0.009787,0.000167,0.086502,0.003306,-0.067390,3.141581
0.010400,0.000210,0.086740,0.004168,-0.066882,3.141560
0.011053,0.000261,0.087025,0.005132,-0.066320,3.141536
0.011746,0.000318,0.087361,0.006199,-0.065705,3.141509
0.012478,0.000383,0.087753,0.007368,-0.065035,3.141480
0.013248,0.000458,0.088203,0.008640,-0.064312,3.141448
0.014057,0.000542,0.088718,0.010015,-0.063535,3.141414
0.014904,0.000637,0.089300,0.011492,-0.062704,3.141377
0.015788,0.000744,0.089955,0.013073,-0.061818,3.141338
0.016709,0.000863,0.090686,0.014756,-0.060879,3.141298
0.017667,0.000997,0.091497,0.016543,-0.059885,3.141256
0.018659,0.001146,0.092393,0.018432,-0.058837,3.141213
0.019687,0.001312,0.093378,0.020425,-0.057735,3.141169
0.020749,0.001496,0.094457,0.022522,-0.056578,3.141124
0.021844,0.001700,0.095632,0.024722,-0.055367,3.141078
0.022972,0.001925,0.096909,0.027025,-0.054102,3.141032
0.024132,0.002174,0.098291,0.029426,-0.052780,3.140986
0.025321,0.002442,0.099779,0.031798,-0.051368,3.140935
0.026537,0.002729,0.101373,0.034020,-0.049833,3.140874
0.027778,0.003031,0.103075,0.035982,-0.048145,3.140802
